txn_id,customer_id,product_id,amount,currency,ts,status
t0000001,c00231,p0054,15.44,USD,2025-08-03 11:46:00,refunded
t0000002,c02870,p0076,47.19,USD,2025-09-22 20:18:00,paid
t0000003,c00226,p0057,121.95,USD,2025-08-04 22:46:00,paid
t0000004,c00922,p0003,$23.03,USD,2025-09-26 21:37:00,cancelled
t0000005,c03021,p0090,111.25,EUR,2025-03-20 11:21:00,paid
t0000006,c01075,p0104,45.45,EUR,2025-04-30 11:20:00,paid
t0000007,c01177,p0056,110.08,USD,2025-08-10 22:42:00,paid
t0000008,c02261,p0085,24.77,EUR,2025-04-30 12:08:00,paid
t0000009,c02093,p0018,134.8,EUR,2025-08-16 11:37:00,paid
t0000010,c03113,p0099,302.04,BRL,2025-07-18 18:41:00,refunded
t0000011,c01005,p0093,"$56,96",USD,2025-08-18 06:08:00,Paid
t0000012,c01978,p0104,66.52,USD,2025-06-07 13:26:00,refunded
t0000013,c00308,p0081,20.98,USD,2025-01-02 02:12:00,paid
t0000014,c03440,p0102,97.59,EUR,2025-02-05 20:40:00,paid
t0000015,c03336,p0058,341.75,EUR,2025-03-05 14:41:00,paid
t0000016,c00763,p0044,"$29,08",MXN,2025-09-02 19:30:00,paid
t0000017,c00870,p0064,22.69,USD,2025-01-15 17:35:00,paid
t0000018,c00250,p0108,"€17,24",EUR,2025-06-28 21:20:00,paid
t0000019,c01188,p0069,123.47,EUR,2025-06-18 20:46:00,paid
t0000020,c01861,p0066,94.34,EUR,2025-09-23 11:01:00,paid
t0000021,c01838,p0057,99.49,USD,2025-04-20 22:26:00,paid
t0000022,c03486,p0062,23.88,USD,2025-07-17 00:07:00,refunded
t0000023,c03413,p0018,99.77,EUR,2025-06-09 17:17:00,refunded
t0000024,c02720,p0104,61.18,USD,2025-08-27 20:46:00,paid
t0000025,c02962,p0098,36.9,USD,2025-06-02 11:23:00,paid
t0000026,c01141,p0025,50.3,EUR,2025-08-26 19:47:00,Refunded
t0000027,c03398,p0078,125.0,USD,2025-07-11 13:06:00,paid
t0000028,c02994,p0063,€29.78,MXN,2025-06-26 22:17:00,refunded
t0000029,c02959,p0067,302.53,USD,2025-03-07 15:26:00,Paid
t0000030,c00423,p0044,12.92,MXN,2025-07-31 19:29:00,paid
t0000031,c00098,p0072,195.79,USD,2025-04-12 22:44:00,paid
t0000032,c01124,p0115,72.42,USD,2025-05-21 12:24:00,paid
t0000033,c00042,p0117,13.98,EUR,2025-05-01 11:15:00,paid
t0000034,c00257,p0057,181.81,EUR,2025-03-28 22:45:00,paid
t0000035,c01080,p0101,429.08,MXN,2025-06-09 16:18:00,paid
t0000036,c02936,p0074,43.3,USD,2025-06-03 13:54:00,paid
t0000037,c00466,p0007,292.39,USD,2025-02-20 14:22:00,paid
t0000038,c02892,p0040,50.81,BRL,2025-04-20 10:17:00,Refunded
t0000039,c01538,p0065,32.4,USD,2025-07-12 13:53:00,Paid
t0000040,c02531,p0004,55.22,USD,2025-05-09 10:56:00,refunded
t0000041,c02751,p0033,172.43,USD,2025-05-24 11:50:00,paid
t0000042,c03340,p0092,20.37,MXN,2025-01-21 00:53:00,paid
t0000043,c02171,p0106,24.46,USD,2025-02-09 21:46:00,paid
t0000044,c00265,p0003,73.84,BRL,2025-07-15 21:15:00,paid
t0000045,c01754,p0093,42.43,EUR,2025-03-01 17:01:00,paid
t0000046,c00019,p0098,143.75,BRL,2025-06-14 00:44:00,paid
t0000047,c00984,p0100,508.2,USD,2025-01-07 10:44:00,paid
t0000048,c03306,p0042,66.6,USD,2025-01-08 20:06:00,paid
t0000049,c02819,p0078,349.12,USD,2025-05-27 14:12:00,cancelled
t0000050,c02583,p0120,95.79,USD,2025-04-16 13:30:00,refunded
t0000051,c02737,p0005,205.2,USD,2025-07-16 21:10:00,paid
t0000052,c00663,p0040,56.95,BRL,2025-09-29 00:46:00,cancelled
t0000053,c02669,p0009,32.41,USD,2025-05-26 21:31:00,paid
t0000054,c01824,p0117,25.28,BRL,2025-05-06 17:56:00,paid
t0000055,c00573,p0046,39.43,EUR,2025-07-15 08:14:00,paid
t0000056,c01218,p0043,169.92,EUR,2025-06-15 23:12:00,cancelled
t0000057,c00107,p0082,54.75,EUR,2025-02-12 10:30:00,refunded
t0000058,c00188,p0001,20.14,EUR,2025-08-14 23:55:00,paid
t0000059,c03103,p0069,126.34,USD,2025-01-13 14:49:00,cancelled
t0000060,c00652,p0065,43.98,EUR,2025-08-22 10:17:00,paid
t0000061,c00432,p0103,$6.87,EUR,2025-08-29 10:43:00,refunded
t0000062,c02617,p0066,75.37,USD,2025-04-24 20:34:00,refunded
t0000063,c01392,p0054,14.86,EUR,2025-02-22 12:37:00,paid
t0000064,c02504,p0048,62.95,USD,2025-08-25 22:31:00,paid
t0000065,c02057,p0036,18.12,USD,2025-07-06 07:53:00,refunded
t0000066,c00356,p0031,81.48,USD,2025-03-29 20:59:00,Refunded
t0000067,c00079,p0017,12.65,USD,2025-07-16 19:20:00,paid
t0000068,c01459,p0057,169.16,USD,2025-06-17 21:35:00,paid
t0000069,c02475,p0069,103.12,USD,2025-09-04 11:28:00,cancelled
t0000070,c01082,p0059,138.23,USD,2025-02-07 14:44:00,paid
t0000071,,p0011,647.82,EUR,2025-08-31 13:27:00,Paid
t0000072,c01032,p0005,137.93,USD,2025-09-27 20:48:00,Paid
t0000073,c02073,p0080,269.44,EUR,2025-04-22 11:17:00,paid
t0000074,c00428,p0093,51.18,USD,2025-09-15 14:18:00,refunded
t0000075,c00065,p0062,38.98,USD,2025-02-18 13:04:00,cancelled
t0000076,c02449,p0053,65.53,USD,2025-05-18 12:52:00,paid
t0000077,c00293,p0108,61.91,EUR,2025-09-29 10:01:00,Refunded
t0000078,c03175,p0098,71.07,USD,2025-02-28 10:33:00,paid
t0000079,c01805,p0030,122.38,MXN,2025-02-19 14:48:00,refunded
t0000080,c01311,p0051,53.99,EUR,2025-03-30 11:22:00,paid
t0000081,c01300,p0025,58.55,EUR,2025-07-15 18:05:00,cancelled
t0000082,c00581,p0082,72.14,MXN,2025-08-22 16:32:00,paid
t0000083,c02638,p0095,15.94,MXN,2025-01-31 22:24:00,Paid
t0000084,c00391,p0047,"25,16",USD,2025-04-10 07:02:00,paid
t0000085,c03417,p0010,22.6,MXN,2025-07-14 18:22:00,paid
t0000086,c02145,p0078,333.71,BRL,2025-09-10 20:41:00,paid
t0000087,c02839,p0078,297.93,BRL,2025-06-11 20:04:00,paid
t0000088,c01747,p0115,45.61,USD,2025-06-10 13:04:00,refunded
t0000089,c00170,p0062,95.45,EUR,2025-04-16 00:32:00,paid
t0000090,c02077,p0025,66.66,BRL,2025-04-23 21:46:00,paid
t0000091,c01325,p0097,68.28,USD,2025-01-15 13:24:00,paid
t0000092,c02610,p0007,484.38,BRL,2025-07-01 14:52:00,paid
t0000093,c02178,p0079,39.76,USD,2025-03-06 20:46:00,Refunded
t0000094,c02650,p0106,51.48,EUR,2025-04-02 20:16:00,paid
t0000095,c00368,p0040,94.05,BRL,2025-03-19 12:01:00,paid
t0000096,c01968,p0074,68.85,USD,2025-06-20 09:20:00,refunded
t0000097,c00028,p0021,70.5,USD,2025-07-08 13:37:00,paid
t0000098,c01323,p0031,24.71,EUR,2025-01-23 23:38:00,Paid
t0000099,c03281,p0015,105.15,USD,2025-04-08 19:29:00,paid
t0000100,c00606,p0080,342.68,USD,2025-07-15 19:25:00,paid
t0000101,c02473,p0075,148.54,BRL,2025-07-30 21:23:00,paid
t0000102,c00215,p0004,90.37,MXN,2025-08-22 18:48:00,paid
